"EcoPortCode","ScientificName","AUTH","FAMNAME","SYNO","COMNAME","LIFO","HABI","LISPA","PHYS","CAT","PLAT","TOPMN","TOPMX","TMIN","TMAX","ROPMN","ROPMX","RMIN","RMAX","PHOPMN","PHOPMX","PHMIN","PHMAX","LATOPMN","LATOPMX","LATMN","LATMX","ALTMX","LIOPMN","LIOPMX","LIMN","LIMX","DEP","DEPR","TEXT","TEXTR","FER","FERR","TOX","TOXR","SAL","SALR","DRA","DRAR","KTMPR","KTMP","PHOTO","CLIZ","ABITOL","ABISUS","INTRI","PROSY","GMIN","GMAX"
331,"Agathis macrophylla","(Lindl.) Mast.","Pinopsida:Araucariaceae","","kauri, kauri pine","tree","erect","perennial","evergreen, single stem","environmental","harvested from wild",22,32,10,40,4000,5000,2000,7000,4.5,6,4,6.5,NA,NA,NA,NA,480,"very bright","clear skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium, light","moderate","","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet (Ar)","","","","",300,365
333,"Agathis robusta","(F.J. Muell.) F.M. Bailey","Pinopsida:Araucariaceae","","South Queensland kauri","tree","erect","perennial","evergreen, single stem","forest/wood","harvested from wild",18,30,6,38,1500,3000,900,5000,5.5,7,4.2,8.1,15,15,27,27,900,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-2,0,"short day (<12 hours)","tropical wet & dry (Aw), subtropical humid (Cf)","","","","",210,300
339,"Agave sisalana","Perrine ex Engelm.","Liliopsida:Liliidae:Asparagales:Agavaceae","Agave rigida var. sisalana Engelmann","sisal hemp, Bahama hemp, dali, agave, sisal., ndali, natali (Fiji)","herb","erect, acaulescent (or rosette plants)","perennial","evergreen, single stem","materials, environmental","grown on large scale",15,27,10,45,900,1250,500,1800,6,7.5,5.5,8,10,10,25,25,2000,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-5,-5,"short day (<12 hours)","tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","","","","",150,270
347,"Albizia falcataria","(L.) Fosb.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Albizia moluccana","","tree","erect","perennial","deciduous, single stem","materials, forest/wood, environmental","grown on small scale",22,31,17,40,2000,4000,1000,5500,5.5,7.3,4.5,8.5,NA,NA,5,10,2000,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",270,365
349,"Albizia lebbeck","(L.) Benth.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Acacia lebbeck (L.) Willd., Acacia speciosa (Jacq.) Willd., Albizia latifolia Boivin, Mimosa lebbeck L., Mimosa sirissa Roxb.","lebbek tree, siris-tree, rain tree, East Indian walnut, woman's-tongue tree, woman's tongue tree, chatterbox tree, kokko, bois noir, cha-cha, langue de vieille femme, ébénier d'orient, acacia de lebbek, albizia, acacia siras, coracao de negro, pau-negro, ebano oriental","tree","erect","perennial","deciduous, single stem","forage/pasture, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental","grown on large scale",26,36,12,48,600,2000,500,2500,6,7,5.5,8.5,11,11,27,27,1600,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium, light","low","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)","","","","",180,300
350,"Albizia procera","(Roxb.) Benth.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Acacia procera (Roxb.) Willd., Albizia procera (Roxb.) Benth var. elata (Roxb.) Bak., Albizia procera (Roxb.) Benth. var. roxburghiana Fournier, Mimosa elata Roxb., Mimosa procera Roxb.","","tree","erect","perennial","deciduous, single stem","materials, forest/wood, environmental","grown on small scale",20,33,10,45,1500,2500,780,5100,5.5,6.5,5,7.5,NA,NA,20,20,1200,"very bright","very bright","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw)","","","can become a weed","",150,270
352,"Albizia stipulata","(Roxb.) H.L. Boivin","Magnoliopsida:Rosidae:Fabales:Leguminosae","","tamalini","tree","erect","perennial","deciduous, single stem","forest/wood, environmental","",22,34,4,43,2000,2400,1100,5000,5.5,6.5,5,7.5,20,20,30,30,1300,"very bright","cloudy skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium","medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-1,-1,"short day (<12 hours)","tropical wet & dry (Aw)","","","","",210,300
353,"Aleurites fordii","","Magnoliopsida:Dilleniidae:Euphorbiales:Euphorbiaceae","Vernicia fondii","","tree","erect","perennial","deciduous, single stem","materials, environmental","",17,22,10,28,1000,1200,750,1400,6,7,5.3,7.5,29,29,32,32,1000,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium","medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","subtropical dry summer (Cs)","","wind","","",240,300
354,"Aleurites moluccana","(L)Willd","Magnoliopsida:Dilleniidae:Euphorbiales:Euphorbiaceae","Aleurites triloba Forst., Croton moluccanus L.","candlenut, tuitui (Tonga), lama, Candle nut","tree","erect","perennial","single stem","materials","grown on small scale",18,28,14,32,1000,1800,600,4300,5,8,4.3,8.5,NA,NA,20,30,1200,"very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium","medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)","","","","",240,365
355,"Aleurites montana","","Magnoliopsida:Dilleniidae:Euphorbiales:Euphorbiaceae","","","tree","erect","perennial","deciduous, single stem","materials, environmental","grown on small scale",25,30,18,34,1500,2100,1000,2500,5,6.5,4.5,7,10,10,35,35,1800,"clear skies","cloudy skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), subtropical dry summer (Cs)","","","","",240,300
363,"Allium ampeloprasum","L.","Liliopsida:Liliidae:Asparagales:Alliaceae","","wild leek, vine leek, Levant garlic, alho porro bravo, liiki","herb","erect","annual, biennial","single stem","vegetables","grown on large scale",18,24,6,27,750,1000,350,2800,6,6.5,4.5,7.5,NA,NA,60,60,1000,"clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",-5,-5,"long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","","","","",120,150
364,"Allium cepa","L.","Liliopsida:Liliidae:Asparagales:Alliaceae","Allium ascalonicum L., Cepa rotunda Dod., Allium esculentum Salisb., Allium porrum cepa Rehb.","onion, potato onion, shallot, echalote, oignon, cebolla, basal, cebola, cipolla, Zwiebel, Küchenzwiebel, lök, rödlök, løg, rødløg, kepaløk, ruokasipuli, ui, ajuin, mózespecsenye, zsidószalonna, hagyma, vöröshagyma, zöldhagyma, újhagyma (green onion), cibule, ceba, cepo, sercajo, spritajo, uinnean, Bulbus Allii Cepae, uie, luk, cebula jadalna, sogan, pias, kremmídi, laukur, yang-ts'ung, chung, cong, ts'ung, chung tau, ts'ung tau, yang ts'ung, tamanegi, atasuki, wakegi, kalik, piaz, piyaz, varosa, key shinkurt, ponoru, pianj, kesunni, kyet-thun-ni, harili sibul, dungari, yarok, batzal, bawang merah, bawang daun, daun bawang (green leaf), nirulli, khtim slek, khtim kraham, phak bouo, bawang daun (green leaf), ulli, kanda, piaja, ayun, peyaz, ceapã, palandu, lunu, kitunguu, sibuyas, irulli, vengayam, ton hom, hua hom, hanh, lasóna","herb","erect","biennial","","vegetables, medicinals & aromatic","grown on large scale",12,25,4,30,350,600,300,2800,6,7,4.3,8.3,NA,NA,60,60,2000,"clear skies","clear skies","cloudy skies","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","wide, organic","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","","","","home garden, large scale/commercial",85,175
365,"Allium fistulosum","L.","Liliopsida:Liliidae:Asparagales:Alliaceae","","branching onion, Spanish onion, Japanese bunching onion, chibol, Spring onion, stone leek, Japanese leek, Welsh onion, ceboleta de Espanha","herb","erect","annual, perennial","","vegetables","grown on large scale",12,25,6,30,850,1600,700,2500,6.6,7.4,5.5,8.5,NA,NA,60,60,2000,"clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc)","","","","",60,160
367,"Allium sativum","L.","Liliopsida:Liliidae:Asparagales:Alliaceae","Porrum sativum Reh.","garlic, cultivated garlic, ail, aglio, ajo, kaliki, Knoblauch, vitlök, hvidløg, thum, knoflook, alho, alho de cultura, chesnok, ninniku, suan, Bulbus Allii Sativi, garlic oil","herb","erect","biennial","single stem","vegetables, medicinals & aromatic","grown on large scale",18,30,7,35,750,1600,500,2700,6,6.6,5,8.5,NA,NA,60,60,2200,"clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",-5,-5,"long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","","humidity","","home garden, large scale/commercial",90,120
379,"Alstonia scholaris","(L.) R. Br.","Magnoliopsida:Asteridae:Gentianales:Apocynaceae","Echites scholaris","devil's tree, white cheesewood tree, alstonia, dita bark tree, Australian fever bark tree, Australian quinine bark tree, bitter-bark tree, blackboard tree, chatiyan wood, shaitan, chattun, chatian, chhatiwan, chatiwan, tin pet, dita, khaaniqat al-kalab, shajaratah fi asya al-harrah, scholarsi, may màn, mò cua, mùa cua, co tin pát, palai, pasuit, phaya sattaban, sattaban, polai, sachina, satavan, satuna, alipauen, dalipauen, lava, lipauen, dirita, tanitan, tangitang, andarayan, voplai, chatina (santal), saptaparni (kandha), dubedi (kandha)","tree","erect","perennial","evergreen, single stem","materials, ornamentals/turf, medicinals & aromatic, forest/wood","grown on small scale",22,28,12,36,1200,3000,1100,3800,5.5,6.5,4.5,7.5,5,NA,15,21.5,1000,"very bright","very bright","very bright","clear skies","deep (>>150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",300,365
390,"Amaranthus cruentus","L.","Magnoliopsida:Caryophyllidae:Caryophyllales:Amaranthaceae","Amaranthus paniculatus","whitespot, giant arum, purple amaranth","herb","erect","annual","","cereals & pseudocereals, forage/pasture, vegetables","grown on small scale",22,28,10,45,2000,2400,500,4000,5.5,7,4.3,7.5,NA,NA,20,40,1200,"very bright","very bright","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)",4,0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","","","","home garden, small scale (manual)",30,300
391,"Amaranthus sp.","","Magnoliopsida:Caryophyllidae:Caryophyllales:Amaranthaceae","","amaranth, kata natay, chulai","herb","erect","annual","single stem, multi stem, C4 photosynthesis","vegetables","grown on large scale, grown on small scale",19,30,7,45,1100,1400,200,4200,5.5,7.5,4.3,8.5,NA,NA,30,30,1200,"very bright","very bright","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",4,0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","","","","",30,300
400,"Amorphophallus paeoniifolius","(Dennst.) Nicolson","Liliopsida:Arecidae:Arecales:Palmae","Amorphophallus campanulatus Blume","elephant foot yam, elephant yam, yam","herb","erect","perennial","single stem","vegetables","grown on small scale",28,35,25,40,1000,1500,900,1800,5.5,6.2,5,7.5,NA,NA,20,20,1000,"clear skies","clear skies","cloudy skies","very bright","deep (>>150 cm)","medium (50-150 cm)","medium, organic","medium, organic","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",5,0,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",220,350
401,"Anacardium occidentale","L.","Magnoliopsida:Rosidae:Sapindales:Anacardiaceae","","mamuang himmaphan, yaruang, mamuang letlor, cashew, cashew nut, acajou á pomme, noix d'acajou, marañon, casho, cashu, cajou, anacardier, caju, acajú, kasjoe, mereke, kaju, apu initia, kesiu, cashewnuss, cashewbaum, jambu mortyet, jambu mede, gajus, jambu monyet, kasoy, balubad, balogo, thiho thayet si, svaay chantii, dao lon hot, cay dieu, nut-cashew","shrub, tree","erect","perennial","evergreen, single stem, multi stem, C3 photosynthesis","fruits & nuts, medicinals & aromatic","grown on large scale",15,35,5,46,750,1600,400,4000,4.5,6.5,3.8,8.7,NA,NA,25,30,1200,"very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), subtropical dry winter (Cw)","","","","",190,260
402,"Ananas comosus","Merr.","Liliopsida:Zingiberidae:Bromeliales:Bromeliaceae","Ananas sativus Schult. f., Ananassa sativa Lindl., Bromelia ananas L., Bromelia comosa L.","pineapple, pina, po lo mah, ananas, abacaxi, vadra, vainaviu, andras, hukifa, fala'aiga, faina, ara painapa (Cooks), balawa, fala papalagi, painapolo (Tuvalu), sub-pah-rohd","herb","erect","perennial","single stem","fruits & nuts","grown on large scale",21,30,10,36,800,2500,550,3500,4.5,8,3.5,9,NA,NA,25,33,1800,"clear skies","cloudy skies","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","","","","",330,365
411,"Annona muricata","L.","Magnoliopsida:Magnoliidae:Magnoliales:Annonaceae","","soursop, corossol épineux, Stachelannone, zuurzak, guanabana, sirsak, nangka belanda, nangka seberang, durian belanda, durian benggala, durian makkah, saua sap, guayabano, atti, llabanos, tiep banla, tiep barang, khan thalot, khièp thét, thurian-thet, thurian-khaek, rian-nam, mang câù xiê, seremaia, sarifa, talapo fotofoto, sasalapa, 'apeli'initia, apeli'initia, sapsap","tree","erect","perennial","evergreen, semi evergreen, single stem","fruits & nuts, vegetables, medicinals & aromatic, environmental","grown on small scale",20,30,13,36,1200,2200,800,4200,5.5,6.5,4.5,8,NA,NA,20,30,1200,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","shallow (20-50 cm)","heavy, medium","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",180,365
